# ------------------------------------------------------------------
# Generated by forcedphotometry.pl, v1.9 on 2019-07-31 at 11:37:05
#
# Requested input R.A. = 226.104082 degrees
# Requested input Dec. = 10.494222 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2458696.5 days
# Authenticated program IDs = 2 (includes any publicly-released programID=1 data)
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# airmass = Airmass value at start time of exposure where 1 => zenith
# moonalt = Moon altitude above horizon at start time of exposure [deg]
# moonillf = Moon illumination fraction at start time of exposure where 1 => full
# moonra = R.A. of Moon at start time of exposure [deg]
# moondec = Dec. of Moon at start time of exposure [deg]
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# scimaglim = Magnitude limit in sci image [mag]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# obsdate = Observation date/time at start of exposure [UT]
# jd = Julian Date at start of exposure [days]
# scifilename = Archived sci image filename
# diffilename = Archived difference image filename
# rfid = Rerence image Operations DB identifier
# refmaglim = Magnitude limit in reference image [mag]
# refbckgnd = Background level in ref image [DN]
# zpref = Photometric zeropoint for ref image [mag]
# refcreated = Creation date/time of reference image [PT]
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# reffilename = Archived ref image filename
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, airmass, moonalt, moonillf, moonra, moondec, sciinpseeing, scibckgnd, scisigpix, scimaglim, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, diffmaglim, zpdiff, programid, obsdate, jd, scifilename, diffilename, rfid, refmaglim, refbckgnd, refsigpix, zpref, refcreated, refjdstart, refjdend, reffilename, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, procstatus
#
 0 531 8 2 ZTF_r 475378203015 0 1.077 -17.1517 0.327365 101.058 19.6967 2.3285 202.61 6.02148 21.11 26.198 6.0201e-06 0.0243491 0.111568 1.0362e-05 553 30 20.4078 26.275 1 2018-04-21T09:04:37.932 2458229.878206 /ztf/archive/sci/2018/0421/378206/ztf_20180421378206_000531_zr_c08_o_q3_sciimg.fits /ztf/archive/sci/2018/0421/378206/ztf_20180421378206_000531_zr_c08_o_q3_scimrefdiffimg.fits.fz 531120230 22.8 202.353 1.68224 26.275 2018-04-18T07:31:38.275998 2458186.939896 2458226.876562 /ztf/archive/ref/000/field000531/zr/ccd08/q3/ztf_000531_zr_c08_q3_refimg.fits 118.727110391092 31.1547348112464 4.23916811698107 1.35033767145927 134.250112607202 50.792511006939 2.66090988927907 1.07992460357547 0.157760558445663 17.3350004196167 0.0179999992251396 0.526000022888184 -0.0350000001490116 59
 1 531 8 2 ZTF_r 478356733015 0 1.081 16.86 0.662641 144.841 14.3632 4.638 202.698 8.04547 20.4 26.1807 1.38004e-05 0.0334135 0.126285 2.34037e-05 462 30 19.8938 26.275 1 2018-04-24T08:33:42.409 2458232.8567361 /ztf/archive/sci/2018/0424/356725/ztf_20180424356725_000531_zr_c08_o_q3_sciimg.fits /ztf/archive/sci/2018/0424/356725/ztf_20180424356725_000531_zr_c08_o_q3_scimrefdiffimg.fits.fz 531120230 22.8 202.32 1.65986 26.275 2018-04-18T07:31:38.275998 2458186.939896 2458226.876562 /ztf/archive/ref/000/field000531/zr/ccd08/q3/ztf_000531_zr_c08_q3_refimg.fits 440.800911979871 55.7729573960945 8.79171521149824 1.21016301762993 549.754119294942 79.9768628654946 6.92021073456273 1.24634985897732 0.157760558445663 17.3350004196167 0.0179999992251396 0.526000022888184 -0.0350000001490116 59
 2 531 8 2 ZTF_r 489295723015 0 1.118 1.42404 -0.754821 286.096 -21.1121 2.3253 209.384 7.4542 20.87 26.1954 6.8009e-06 0.0255382 0.116715 1.18233e-05 539 30 20.2092 26.275 1 2018-05-05T07:05:51.568 2458243.7957292 /ztf/archive/sci/2018/0505/295718/ztf_20180505295718_000531_zr_c08_o_q3_sciimg.fits /ztf/archive/sci/2018/0505/295718/ztf_20180505295718_000531_zr_c08_o_q3_scimrefdiffimg.fits.fz 531120230 22.8 209.166 2.46499 26.275 2018-04-18T07:31:38.275998 2458186.939896 2458226.876562 /ztf/archive/ref/000/field000531/zr/ccd08/q3/ztf_000531_zr_c08_q3_refimg.fits 955.58552416078 41.8763737585999 25.3837215980082 1.14237900054456 969.741675549764 64.8085190923167 15.0639600349135 1.0895013917469 0.157760558445663 17.3350004196167 0.0179999992251396 0.526000022888184 -0.0350000001490116 59
 3 531 8 2 ZTF_r 492253273015 0 1.209 -35.5824 -0.486624 322.609 -16.241 5.4597 209.221 6.68458 20.42 26.1974 1.12778e-05 0.0324603 0.119413 1.95624e-05 524 30 19.9564 26.275 1 2018-05-08T06:04:43.515 2458246.7532755 /ztf/archive/sci/2018/0508/253264/ztf_20180508253264_000531_zr_c08_o_q3_sciimg.fits /ztf/archive/sci/2018/0508/253264/ztf_20180508253264_000531_zr_c08_o_q3_scimrefdiffimg.fits.fz 531120230 22.8 209.168 2.46236 26.275 2018-04-18T07:31:38.275998 2458186.939896 2458226.876562 /ztf/archive/ref/000/field000531/zr/ccd08/q3/ztf_000531_zr_c08_q3_refimg.fits 2004.02477990295 52.8767320688559 42.159289355418 1.37346453448071 2281.92817376088 69.6742701254117 32.9719577566671 1.22574077298222 0.157760558445663 17.3350004196167 0.0179999992251396 0.526000022888184 -0.0350000001490116 59
 4 531 8 2 ZTF_r 495274463015 8 1.127 -48.9256 -0.205516 358.784 -5.18076 6.4565 209.074 5.97914 20.01 26.1254 1.89151e-05 0.0352238 0.118985 3.14561e-05 369 30 19.8373 26.275 1 2018-05-11T06:35:14.098 2458249.7744676 /ztf/archive/sci/2018/0511/274456/ztf_20180511274456_000531_zr_c08_o_q3_sciimg.fits /ztf/archive/sci/2018/0511/274456/ztf_20180511274456_000531_zr_c08_o_q3_scimrefdiffimg.fits.fz 531120230 22.8 209.07 2.47581 26.275 2018-04-18T07:31:38.275998 2458186.939896 2458226.876562 /ztf/archive/ref/000/field000531/zr/ccd08/q3/ztf_000531_zr_c08_q3_refimg.fits 1567.70576309459 62.5576431813077 27.8765469749223 1.82849534650816 2143.1282442014 80.3860740657118 26.8400013473364 1.42681643526619 0.157760558445663 17.3350004196167 0.0179999992251396 0.526000022888184 -0.0350000001490116 59
 5 531 8 2 ZTF_r 501293143015 0 1.082 -27.5414 0.045178 79.9192 18.62 4.786 202.517 5.99542 20.66 26.1926 1.27535e-05 0.0296091 0.123172 2.29517e-05 383 30 20.1669 26.275 1 2018-05-17T07:02:08.917 2458255.7931481 /ztf/archive/sci/2018/0517/293148/ztf_20180517293148_000531_zr_c08_o_q3_sciimg.fits /ztf/archive/sci/2018/0517/293148/ztf_20180517293148_000531_zr_c08_o_q3_scimrefdiffimg.fits.fz 531120230 22.8 202.269 1.68807 26.275 2018-04-18T07:31:38.275998 2458186.939896 2458226.876562 /ztf/archive/ref/000/field000531/zr/ccd08/q3/ztf_000531_zr_c08_q3_refimg.fits -14.5873592978057 44.9274159944651 -0.36117696176235 1.25130199649128 104.926048944255 62.5858053927391 1.6878065442785 1.24186740768824 0.157760558445663 17.3350004196167 0.0179999992251396 0.526000022888184 -0.0350000001490116 59
 6 531 8 2 ZTF_r 504252033015 0 1.123 12.8955 0.288341 125.421 18.2378 7.9821 201.996 5.99407 20.93 26.1315 8.7492e-06 0.0292509 0.114444 1.51478e-05 553 30 20.3277 26.275 1 2018-05-20T06:02:56.706 2458258.752037 /ztf/archive/sci/2018/0520/252037/ztf_20180520252037_000531_zr_c08_o_q3_sciimg.fits /ztf/archive/sci/2018/0520/252037/ztf_20180520252037_000531_zr_c08_o_q3_scimrefdiffimg.fits.fz 531120230 22.8 201.828 1.54141 26.275 2018-04-18T07:31:38.275998 2458186.939896 2458226.876562 /ztf/archive/ref/000/field000531/zr/ccd08/q3/ztf_000531_zr_c08_q3_refimg.fits -541.726506930631 35.8866029238031 -16.792004349997 1.39362067776094 -492.770152814317 54.1943159605405 -9.15389334383729 1.15747522345458 0.157760558445663 17.3350004196167 0.0179999992251396 0.526000022888184 -0.0350000001490116 59
 7 531 8 2 ZTF_r 513315413015 0 1.107 39.2788 0.999089 243.426 -17.3729 7.1957 194.433 37.489 18.9 26.1175 4.34594e-05 0.0516446 0.128511 7.84164e-05 355 30 18.3678 26.275 1 2018-05-29T07:34:12.666 2458267.8154167 /ztf/archive/sci/2018/0529/315405/ztf_20180529315405_000531_zr_c08_o_q3_sciimg.fits /ztf/archive/sci/2018/0529/315405/ztf_20180529315405_000531_zr_c08_o_q3_scimrefdiffimg.fits.fz 531120230 22.8 201.752 1.54523 26.275 2018-04-18T07:31:38.275998 2458186.939896 2458226.876562 /ztf/archive/ref/000/field000531/zr/ccd08/q3/ztf_000531_zr_c08_q3_refimg.fits -1113.10302503487 208.189942539344 -5.94744478461523 0.939984760956042 -1576.13402004184 315.448030248003 -5.03014513072744 1.1668535424288 0.157760558445663 17.3350004196167 0.0179999992251396 0.526000022888184 -0.0350000001490116 59
 8 531 8 2 ZTF_r 516299013015 0 1.096 22.3691 -0.933927 282.031 -21.492 2.6451 201.395 11.2083 20.55 26.1628 9.7586e-06 0.0306627 0.117381 1.70359e-05 544 30 19.8173 26.275 1 2018-06-01T07:10:35.831 2458270.7990162 /ztf/archive/sci/2018/0601/298993/ztf_20180601298993_000531_zr_c08_o_q3_sciimg.fits /ztf/archive/sci/2018/0601/298993/ztf_20180601298993_000531_zr_c08_o_q3_scimrefdiffimg.fits.fz 531120230 22.8 201.203 1.53553 26.275 2018-04-18T07:31:38.275998 2458186.939896 2458226.876562 /ztf/archive/ref/000/field000531/zr/ccd08/q3/ztf_000531_zr_c08_q3_refimg.fits -251.026843253293 62.74274064063 -4.45052741690063 0.991683888959696 -246.770548016668 103.629864659664 -2.39730663232428 1.09803895368379 0.157760558445663 17.3350004196167 0.0179999992251396 0.526000022888184 -0.0350000001490116 59
